resource,restaurant,oldestDate,reference_before,referenceDate,reference_after,mostRecentDate,blogTotal,blogDisplay,resource_count
츄릅켠,안동상회,2007-12-31,200,2099-12-31 00:00:00,0,2021-10-19,5910,200,0
츄릅켠,꼬리집,2006-07-19,121,2020-02-26 00:00:00,79,2021-10-20,970,200,1
츄릅켠,돌쇠장작구이,2010-06-02,200,2099-12-31 00:00:00,0,2021-10-20,680,200,0
츄릅켠,대게만찬,2017-07-14,200,2099-12-31 00:00:00,0,2021-10-19,16940,200,0
츄릅켠,생선구이,2021-06-10,200,2099-12-31 00:00:00,0,2021-10-21,1369739,200,0
츄릅켠,가마솥 돼지갈비,2006-05-16,167,2021-03-28 00:00:00,33,2021-09-29,16800,200,1
츄릅켠,이케아동부산점,2019-12-28,200,2099-12-31 00:00:00,0,2021-10-21,8732,200,0
츄릅켠,연산낙지해물탕,2011-09-04,200,2099-12-31 00:00:00,0,2021-10-15,728,200,0
츄릅켠,소문난순대,2008-04-04,165,2021-07-21 00:00:00,35,2021-10-19,47025,200,1
츄릅켠,나탄 약선요리,2018-07-31,168,2099-12-31 00:00:00,0,2021-10-12,84,200,0
츄릅켠,일신슈퍼,2006-08-16,200,2099-12-31 00:00:00,0,2021-10-17,6945,200,0
츄릅켠,명동돼지숯불갈비,2009-04-07,200,2099-12-31 00:00:00,0,2021-10-17,4327,200,0
츄릅켠,구로마쯔,2008-02-12,200,2099-12-31 00:00:00,0,2021-10-20,1365,200,0
수요미식회,카페 노티드,2021-02-12,200,2099-12-31 00:00:00,0,2021-10-21,61036,200,0
수요미식회,목향원,2015-11-09,12,2017-10-22 00:00:00,188,2021-10-18,14232,200,78
수요미식회,애플하우스,2017-04-17,2,2018-02-02 00:00:00,198,2021-10-21,20147,200,15
수요미식회,다운타우너 한남,2017-06-03,0,2017-06-03 00:00:00,200,2021-10-18,5563,200,7
수요미식회,서촌스코프,2017-03-27,18,2017-10-07 00:00:00,182,2021-10-21,6500,200,19
